tracking_id,fir_number,suspect_name,associated_phone,platform,event_type,timestamp,approximate_location,device_type,network_type,location_accuracy_meters
SMT-0079-03,0172/2026,Md. Vedant Sha,+91-5190931048,Facebook,Login,2026-08-22 00:39:24,"Dadar, Mumbai",Android Mobile,Mobile Data,283
SMT-0080-01,0601/2026,Md. Charan Rege,+91-5663787453,X / Twitter,Login,2026-08-01 17:02:59,"Byculla West, Mumbai",Android Mobile,Broadband,378
SMT-0080-02,0601/2026,Md. Charan Rege,+91-5663787453,WhatsApp,Session Activity,2026-08-01 07:39:59,"Worli, Mumbai",Desktop Browser,Wi-Fi,173
SMT-0080-03,0601/2026,Md. Charan Rege,+91-5663787453,WhatsApp,Session Activity,2026-08-03 10:50:59,"Kalachowki, Mumbai",iPhone,Broadband,182
SMT-0081-01,0312/2026,Md. Ranveer Divan,+91-6070042716,Instagram,Login,2026-07-17 23:29:12,"Kalachowki, Mumbai",Android Mobile,Mobile Data,192
SMT-0082-01,0761/2026,Md. Gaurang Khosla,+91-6433686030,X / Twitter,Session Activity,2026-07-25 05:05:55,"Nagpada, Mumbai",Desktop Browser,Mobile Data,355
SMT-0082-02,0761/2026,Md. Gaurang Khosla,+91-6433686030,Instagram,Login,2026-07-25 00:09:55,"Nagpada, Mumbai",iPhone,Mobile Data,262
SMT-0082-03,0761/2026,Md. Gaurang Khosla,+91-6433686030,Instagram,Session Activity,2026-07-25 09:12:55,"Kalachowki, Mumbai",Android Mobile,Broadband,491
SMT-0083-01,0126/2026,Md. Rishi Palla,+91-2482634459,Instagram,Login,2026-07-16 10:46:14,"Worli, Mumbai",Desktop Browser,Wi-Fi,165
SMT-0083-02,0126/2026,Md. Rishi Palla,+91-2482634459,Facebook,Logout,2026-07-17 10:55:14,"Kalachowki, Mumbai",Desktop Browser,Mobile Data,291
SMT-0084-01,0490/2026,Md. Balvan Kamdar,+91-8333943416,Facebook,Session Activity,2026-08-02 01:44:25,"Worli, Mumbai",iPhone,Broadband,270
SMT-0085-01,0858/2026,Md. Isaac Natt,+91-0451095089,WhatsApp,Logout,2026-08-28 13:41:23,"Worli, Mumbai",Android Mobile,Wi-Fi,127
SMT-0085-02,0858/2026,Md. Isaac Natt,+91-0451095089,X / Twitter,Login,2026-08-27 17:37:23,"Worli, Mumbai",Desktop Browser,Broadband,347
SMT-0085-03,0858/2026,Md. Isaac Natt,+91-0451095089,Facebook,Session Activity,2026-08-25 16:56:23,"Worli, Mumbai",Desktop Browser,Mobile Data,312
SMT-0086-01,0774/2026,Md. Wridesh Loke,+91-1076670758,Instagram,Login,2026-08-29 22:46:49,"Grant Road, Mumbai",Android Mobile,Broadband,175
SMT-0087-01,0708/2026,Md. Siddharth Roy,+91-9108620606,WhatsApp,Login,2026-07-24 05:15:30,"Agripada, Mumbai",Desktop Browser,Mobile Data,405
SMT-0088-01,0898/2026,Md. Andrew Cherian,+91-7080792156,Facebook,Logout,2026-08-04 06:21:40,"Lower Parel, Mumbai",Android Mobile,Wi-Fi,152
SMT-0088-02,0898/2026,Md. Andrew Cherian,+91-7080792156,X / Twitter,Login,2026-08-04 07:35:40,"Byculla West, Mumbai",iPhone,Broadband,309
SMT-0088-03,0898/2026,Md. Andrew Cherian,+91-7080792156,Facebook,Login,2026-08-05 08:35:40,"Lower Parel, Mumbai",iPhone,Broadband,489
SMT-0089-01,0538/2026,Md. Parth Pandya,+91-3739677774,WhatsApp,Logout,2026-08-12 15:06:07,"Grant Road, Mumbai",Desktop Browser,Broadband,391
SMT-0089-02,0538/2026,Md. Parth Pandya,+91-3739677774,WhatsApp,Logout,2026-08-13 15:19:07,"Kalachowki, Mumbai",Desktop Browser,Mobile Data,309
SMT-0089-03,0538/2026,Md. Parth Pandya,+91-3739677774,WhatsApp,Session Activity,2026-08-14 06:14:07,"Nagpada, Mumbai",Desktop Browser,Mobile Data,303
SMT-0090-01,0254/2026,Md. Bahadurjit Sinha,+91-1408192283,WhatsApp,Session Activity,2026-08-22 09:41:26,"Agripada, Mumbai",Desktop Browser,Mobile Data,238
SMT-0091-01,0745/2026,Md. Mohammed Dave,+91-5251191004,WhatsApp,Logout,2026-07-29 15:59:28,"Nagpada, Mumbai",Android Mobile,Broadband,308
SMT-0091-02,0745/2026,Md. Mohammed Dave,+91-5251191004,X / Twitter,Login,2026-07-31 05:56:28,"Kalachowki, Mumbai",Android Mobile,Broadband,232
SMT-0092-01,0603/2026,Md. Balvan Shroff,+91-1745742151,Facebook,Session Activity,2026-07-10 12:52:27,"Kalachowki, Mumbai",iPhone,Wi-Fi,276
SMT-0093-01,0492/2026,Md. Siddharth Chakrabarti,+91-6655622192,X / Twitter,Login,2026-08-15 14:10:19,"Nagpada, Mumbai",Desktop Browser,Wi-Fi,329
SMT-0093-02,0492/2026,Md. Siddharth Chakrabarti,+91-6655622192,X / Twitter,Login,2026-08-16 05:04:19,"Nagpada, Mumbai",Desktop Browser,Broadband,272
SMT-0093-03,0492/2026,Md. Siddharth Chakrabarti,+91-6655622192,WhatsApp,Logout,2026-08-15 00:19:19,"Dadar, Mumbai",iPhone,Mobile Data,54
SMT-0094-01,0184/2026,Md. Aarush Lal,+91-2323133336,WhatsApp,Session Activity,2026-07-26 12:59:29,"Agripada, Mumbai",iPhone,Broadband,84
SMT-0094-02,0184/2026,Md. Aarush Lal,+91-2323133336,X / Twitter,Logout,2026-07-24 01:58:29,"Byculla West, Mumbai",Android Mobile,Broadband,304
SMT-0095-01,0986/2026,Md. Chaitanya Dua,+91-1122040051,WhatsApp,Logout,2026-09-01 04:24:18,"Worli, Mumbai",iPhone,Mobile Data,196
SMT-0096-01,0258/2026,Md. Yash Ramakrishnan,+91-7128338483,Instagram,Login,2026-08-20 11:00:07,"Grant Road, Mumbai",Desktop Browser,Broadband,256
SMT-0097-01,0710/2026,Md. Aarnav Chaudhry,+91-6729681915,Facebook,Session Activity,2026-08-31 15:29:46,"Grant Road, Mumbai",Desktop Browser,Mobile Data,248
SMT-0097-02,0710/2026,Md. Aarnav Chaudhry,+91-6729681915,X / Twitter,Logout,2026-08-29 17:31:46,"Dadar, Mumbai",Android Mobile,Broadband,273
SMT-0097-03,0710/2026,Md. Aarnav Chaudhry,+91-6729681915,Facebook,Logout,2026-09-02 04:57:46,"Lower Parel, Mumbai",iPhone,Wi-Fi,279
SMT-0098-01,0582/2026,Md. Brijesh Comar,+91-8294914394,Instagram,Session Activity,2026-08-09 10:00:21,"Byculla West, Mumbai",Desktop Browser,Wi-Fi,434
SMT-0098-02,0582/2026,Md. Brijesh Comar,+91-8294914394,WhatsApp,Login,2026-08-09 18:33:21,"Kalachowki, Mumbai",Desktop Browser,Broadband,444
SMT-0099-01,0977/2026,Md. Yug Bir,+91-7546091865,Instagram,Session Activity,2026-08-22 06:52:37,"Lower Parel, Mumbai",Desktop Browser,Wi-Fi,284
SMT-0099-02,0977/2026,Md. Yug Bir,+91-7546091865,Instagram,Login,2026-08-21 15:59:37,"Worli, Mumbai",Desktop Browser,Mobile Data,226
SMT-0099-03,0977/2026,Md. Yug Bir,+91-7546091865,Instagram,Session Activity,2026-08-24 07:08:37,"Agripada, Mumbai",iPhone,Broadband,454
SMT-0100-01,0856/2026,Md. Manbir Datta,+91-2508766754,X / Twitter,Logout,2026-07-27 18:50:01,"Dadar, Mumbai",Desktop Browser,Mobile Data,273
SMT-0100-02,0856/2026,Md. Manbir Datta,+91-2508766754,Instagram,Session Activity,2026-07-26 13:54:01,"Byculla West, Mumbai",Desktop Browser,Broadband,88
SMT-0100-03,0856/2026,Md. Manbir Datta,+91-2508766754,Instagram,Login,2026-07-26 12:15:01,"Dadar, Mumbai",iPhone,Broadband,313
