fir_number,police_station,district_state,act_and_sections,date_time_incident,date_time_fir,complainant_name,complainant_designation,complainant_phone,complainant_address,investigating_officer,io_rank,io_badge,accused_name,accused_phone,accused_age,accused_yob,accused_address,accused_occupation,physical_features,hospital_reference
0326/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-31 14:25:37,2026-07-31 17:25:37,Zashil Chaudry,Police Head Constable 8749,+91-3265113003,"44, Naik Road, Ajmer 895767",Benjamin Ram,Inspector of Police,POBN65553,Md. Jeet Sachdeva,+91-4631009912,26,2000,"H.No. 742, Solanki Ganj, Bhind 517793",Driver,Tattoo on forearm,Sion Hospital Mumbai
0689/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-15 18:41:59,2026-07-15 22:41:59,Laban Deo,Police Head Constable 7159,+91-8523575917,"H.No. 936, Kaur Marg, Mirzapur 466400",Shaurya Raja,Inspector of Police,POBN15152,Md. Zehaan Wali,+91-8000129596,60,2001,"079, Guha Ganj, Gulbarga-329054",Vendor,,Sion Hospital Mumbai
0104/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-21 19:44:11,2026-08-21 20:44:11,Manan Taneja,Police Head Constable 1956,+91-2611656168,"H.No. 75, Datta Path, Kalyan-Dombivli 824816",Brijesh Dalal,Inspector of Police,POBN57485,Md. Aarnav Sekhon,+91-7235641635,56,1975,"35/75, Narula Road, Hubli–Dharwad-762808",Vendor,Pockmarks on face,Sion Hospital Mumbai
0227/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-27 00:46:29,2026-08-27 04:46:29,Chanakya Dasgupta,Police Head Constable 4004,+91-0530941646,"67/01, Sagar Road, Latur 031400",Krishna Dhingra,Inspector of Police,POBN31943,Md. Qarin Balan,+91-4277185805,55,1975,"48/371, Solanki Street, Haldia-018673",Driver,Tattoo on forearm,Sion Hospital Mumbai
0353/2026,Worli Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-27 08:32:31,2026-08-27 09:32:31,Falan Mutti,Police Head Constable 2279,+91-2789629331,"H.No. 174, Devan Path, Sambhal-723208",Oscar Atwal,Inspector of Police,POBN92165,Md. Balhaar Sami,+91-1715766898,43,2003,"105, Kala Chowk, Firozabad 379213",Unemployed,,Sion Hospital Mumbai
0420/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-05 12:10:48,2026-08-05 15:10:48,Parth Badami,Police Head Constable 3200,+91-2804713414,"67, Kanda, Bokaro 496864",Nathaniel Kaur,Inspector of Police,POBN57809,Md. Warjas Khalsa,+91-2023838998,40,1976,"818, Khatri Road, Singrauli 703827",Driver,,Sion Hospital Mumbai
0286/2026,Worli Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-19 08:38:27,2026-08-19 12:38:27,Shaurya Ramakrishnan,Police Head Constable 4621,+91-8569239205,"78/38, Shanker Road, Nanded 506243",Vivaan Dhar,Inspector of Police,POBN76126,Md. Christopher Pillai,+91-4293362242,34,1982,"36, Mitter Street, Ongole-349221",Driver,Scar on left cheek,Nair Hospital Mumbai
0112/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-09 08:11:46,2026-08-09 11:11:46,Advik Varma,Police Head Constable 9190,+91-1196389101,"H.No. 986, Sastry Chowk, Korba 179285",Fariq Sagar,Inspector of Police,POBN25479,Md. Frederick Gade,+91-9749956561,28,1990,"74, Rege Ganj, Secunderabad 256394",Private Worker,Pockmarks on face,Nair Hospital Mumbai
0235/2026,Worli Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-11 13:46:23,2026-08-11 14:46:23,Jagat Bala,Police Head Constable 9294,+91-4362290874,"252, Hegde Zila, Shimla 196863",Devansh Bali,Inspector of Police,POBN99787,Md. Raghav Manda,+91-9386771558,28,1970,"09, Sarraf Ganj, Anantapur-876158",Daily Wager,Mole on neck,KEM Hospital Mumbai
0460/2026,Nagpada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-31 23:10:07,2026-09-01 03:10:07,Bahadurjit Bora,Police Head Constable 4723,+91-0864026201,"14, Prabhu Road, Satna-627374",Thomas Borra,Inspector of Police,POBN88957,Md. Laban Sidhu,+91-1679781002,30,1971,"41/80, Dixit Road, Kamarhati 692176",Vendor,Mole on neck,Nair Hospital Mumbai
0009/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-13 07:10:39,2026-07-13 11:10:39,Rehaan Sandhu,Police Head Constable 3526,+91-7875995341,"H.No. 32, Shukla Circle, Rajpur Sonarpur-508558",Azaan Kale,Inspector of Police,POBN15134,Md. Rudra Narula,+91-8771310836,46,1986,"H.No. 845, Baral Chowk, Ozhukarai 558576",Private Worker,,Sion Hospital Mumbai
0468/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-10 00:37:15,2026-08-10 04:37:15,Darpan Gala,Police Head Constable 3476,+91-9098367389,"95, Shan Circle, Hapur-845245",Jagat Mannan,Inspector of Police,POBN10964,Md. George Ramaswamy,+91-0077344960,22,2005,"89/190, Bhatt Chowk, Ambarnath-916674",Driver,Tattoo on forearm,Nair Hospital Mumbai
0295/2026,Dadar Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-08 02:36:14,2026-08-08 03:36:14,Wahab Dutt,Police Head Constable 8564,+91-6438178844,"200, Sandhu Nagar, Katni-244070",Sathvik Chaudhuri,Inspector of Police,POBN34436,Md. Owen Ganesh,+91-4501079897,51,1999,"97/956, Sinha Chowk, Gulbarga-583557",Private Worker,,Sion Hospital Mumbai
0545/2026,Nagpada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-26 18:09:53,2026-07-26 21:09:53,Charan Boase,Police Head Constable 4285,+91-2342009868,"57/555, Ramanathan Ganj, Amritsar-649882",Mason Madan,Inspector of Police,POBN65924,Md. Frado Raja,+91-3504184157,42,2002,"45/750, Varughese Marg, Sultan Pur Majra 962427",Unemployed,,Nair Hospital Mumbai
0460/2026,Tardeo Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-09-02 21:48:39,2026-09-03 00:48:39,Arjun Shetty,Police Head Constable 1266,+91-7263156912,"28/978, Goda Chowk, Bihar Sharif-501378",Yatin Tiwari,Inspector of Police,POBN61700,Md. Zaid Nair,+91-2579426125,31,1968,"28, Mishra Ganj, Buxar-935199",Daily Wager,Scar on left cheek,Nair Hospital Mumbai
0233/2026,Worli Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-27 22:41:57,2026-07-27 23:41:57,Wazir Roy,Police Head Constable 4788,+91-4123390132,"389, Bora Ganj, Junagadh-383236",Laban Mishra,Inspector of Police,POBN89843,Md. Harsh Samra,+91-8762291976,54,1994,"199, Swamy Chowk, Karimnagar 236837",Daily Wager,Mole on neck,Nair Hospital Mumbai
0777/2026,Agripada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-05 14:19:35,2026-08-05 15:19:35,Vedant Salvi,Police Head Constable 8773,+91-1095148792,"H.No. 750, Manda Road, Karnal-556398",Manbir Sachar,Inspector of Police,POBN37797,Md. Ansh Sandal,+91-2507232638,33,1976,"H.No. 03, Sarkar Ganj, Dibrugarh 004311",Daily Wager,Mole on neck,Nair Hospital Mumbai
0871/2026,Kalachowki Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-31 10:59:21,2026-07-31 14:59:21,Anmol Kakar,Police Head Constable 1826,+91-8684228993,"12/741, Chana Nagar, New Delhi-414216",Azad Khurana,Inspector of Police,POBN42828,Md. Harrison Sarna,+91-0277658032,42,1998,"980, Sama Chowk, Bharatpur-110413",Private Worker,Scar on left cheek,Nair Hospital Mumbai
0895/2026,Tardeo Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-13 02:12:52,2026-08-13 04:12:52,Madhav Ratti,Police Head Constable 3184,+91-9936929280,"86/139, Mallick Nagar, Erode 950951",Abeer Sarin,Inspector of Police,POBN85553,Md. Gaurang Bhatti,+91-7194825001,35,2002,"241, Chaudry, Bareilly 550320",Daily Wager,,Nair Hospital Mumbai
0881/2026,Bhoiwada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-30 10:00:31,2026-08-30 14:00:31,Wyatt Kara,Police Head Constable 1205,+91-5538007022,"84/46, Arya, Kirari Suleman Nagar-760619",Daksh Dalal,Inspector of Police,POBN70795,Md. Vedant Padmanabhan,+91-2530358841,41,1969,"H.No. 432, Shanker Circle, Morena 509062",Unemployed,Mole on neck,Sion Hospital Mumbai
0055/2026,Tardeo Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-22 02:35:39,2026-07-22 05:35:39,Gunbir Nagi,Police Head Constable 3319,+91-1688719532,"775, Zacharia Chowk, Bihar Sharif 881277",Max Reddy,Inspector of Police,POBN59589,Md. Yagnesh Zacharia,+91-1681067925,51,1970,"23/57, Nayak Chowk, Bhilwara 432618",Unemployed,,Nair Hospital Mumbai
0762/2026,Dadar Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-14 08:14:29,2026-07-14 10:14:29,Nakul Chada,Police Head Constable 2117,+91-2605112506,"H.No. 010, Solanki Ganj, Hazaribagh 549329",Avi Brahmbhatt,Inspector of Police,POBN85512,Md. Alexander Master,+91-9405178098,28,2003,"14/507, Banerjee Street, Nanded 783628",Unemployed,,Sion Hospital Mumbai
0977/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-09-03 09:22:42,2026-09-03 12:22:42,Nicholas Vig,Police Head Constable 9982,+91-5308340056,"38/90, Nori, Varanasi 396853",Pranav Acharya,Inspector of Police,POBN83427,Md. Onveer Bahl,+91-8335561055,24,1999,"H.No. 537, Walia Road, Panchkula 709188",Driver,Pockmarks on face,KEM Hospital Mumbai
0760/2026,Worli Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-10 18:32:06,2026-08-10 19:32:06,Avi Pandit,Police Head Constable 1979,+91-7301898755,"H.No. 66, Hora Chowk, Mehsana-523890",Oliver Kala,Inspector of Police,POBN47360,Md. Darsh Sampath,+91-7458410398,43,1976,"17/264, Sagar Street, Kurnool 371116",Vendor,Pockmarks on face,KEM Hospital Mumbai
0292/2026,Nagpada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-15 16:45:56,2026-07-15 19:45:56,Wyatt Gara,Police Head Constable 8035,+91-7285536535,"91, Nori Road, Noida 962510",Yug Tara,Inspector of Police,POBN90176,Md. Wridesh Virk,+91-2343985265,28,1986,"H.No. 935, Keer Zila, Pudukkottai-352247",Vendor,Pockmarks on face,Sion Hospital Mumbai
0069/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-21 23:38:38,2026-07-22 03:38:38,Ayushman Hora,Police Head Constable 5510,+91-4173608560,"H.No. 050, Tiwari Circle, Lucknow 786358",Lohit Ghose,Inspector of Police,POBN89914,Md. Wridesh Bali,+91-2971614670,59,1996,"H.No. 47, Shroff Road, Yamunanagar-773943",Daily Wager,Pockmarks on face,Sion Hospital Mumbai
0660/2026,Tardeo Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-24 20:15:34,2026-07-25 00:15:34,Ekapad Basu,Police Head Constable 2141,+91-9418497467,"396, Gill Marg, Karaikudi-142805",Tejas Varma,Inspector of Police,POBN51010,Md. Chakradhar Batta,+91-9000406254,33,1979,"70/82, Patel Zila, Chennai-325394",Driver,Tattoo on forearm,Sion Hospital Mumbai
0323/2026,Tardeo Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-23 13:28:00,2026-07-23 17:28:00,Faras Sant,Police Head Constable 7342,+91-0626266386,"H.No. 277, Jha Marg, Mango-228290",Jackson Bansal,Inspector of Police,POBN81833,Md. Sathvik Pant,+91-1554078824,54,2002,"34/946, Pingle Street, Etawah-780265",Unemployed,Mole on neck,Sion Hospital Mumbai
0943/2026,Kalachowki Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-16 04:00:30,2026-08-16 07:00:30,Jatin Sengupta,Police Head Constable 8171,+91-7005332538,"96, Dube Circle, Jehanabad-113813",Gagan Sachdev,Inspector of Police,POBN94466,Md. Samar Nagar,+91-3604313547,33,1995,"H.No. 057, Karpe Chowk, Loni 773662",Daily Wager,Tattoo on forearm,Nair Hospital Mumbai
0173/2026,Worli Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-20 07:42:42,2026-08-20 10:42:42,Zehaan Batra,Police Head Constable 1397,+91-6778766990,"07/58, Tak Marg, Fatehpur 647230",Ryan Ramaswamy,Inspector of Police,POBN12860,Md. Chanakya Chaudhari,+91-7907250746,33,1993,"11/068, Saraf Circle, Jhansi-520091",Unemployed,Tattoo on forearm,Nair Hospital Mumbai
0734/2026,Agripada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-10 20:58:52,2026-08-10 23:58:52,Arin Chopra,Police Head Constable 8112,+91-5194115213,"616, Puri, Junagadh 216342",Aarnav Chowdhury,Inspector of Police,POBN23992,Md. Umang Sabharwal,+91-6997065590,38,1975,"438, Dara, Phagwara 641048",Vendor,Tattoo on forearm,Sion Hospital Mumbai
0021/2026,Nagpada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-09-01 04:54:48,2026-09-01 06:54:48,Ishwar Karnik,Police Head Constable 8109,+91-3937687454,"91/15, Bahri Zila, Karimnagar 803479",Vincent Sidhu,Inspector of Police,POBN53762,Md. Veer Devi,+91-5037744332,49,1972,"68/252, Ravi Path, Bangalore-760965",Private Worker,Tattoo on forearm,KEM Hospital Mumbai
0439/2026,Agripada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-15 12:19:40,2026-07-15 13:19:40,Amol Munshi,Police Head Constable 3179,+91-6320588562,"H.No. 732, Bansal Marg, Chapra 559526",Farhan Dubey,Inspector of Police,POBN30447,Md. Falan Krishna,+91-8579159927,51,2000,"H.No. 797, Vaidya Street, Jamalpur-747921",Driver,Scar on left cheek,Nair Hospital Mumbai
0252/2026,Nagpada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-22 08:53:36,2026-08-22 12:53:36,Mitesh Dara,Police Head Constable 8951,+91-1287316165,"93/88, Kala Street, Kavali 492012",Hemang Chowdhury,Inspector of Police,POBN36473,Md. Yagnesh Tak,+91-9377098052,31,1969,"H.No. 71, Gopal Zila, Faridabad-978939",Private Worker,Mole on neck,Nair Hospital Mumbai
0716/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-27 05:59:44,2026-08-27 09:59:44,Balvan Gupta,Police Head Constable 9763,+91-2880595938,"91/20, Swamy Road, Thrissur 599090",Michael Walla,Inspector of Police,POBN25468,Md. Jagdish Acharya,+91-6400189254,60,1999,"H.No. 553, Pandya Path, Bongaigaon 209148",Private Worker,,Sion Hospital Mumbai
0371/2026,Worli Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-09-05 13:44:41,2026-09-05 14:44:41,Xavier Yohannan,Police Head Constable 7519,+91-5654904106,"633, Soman Ganj, Allahabad-112253",Ranbir Raja,Inspector of Police,POBN53857,Md. Samar Golla,+91-4830450019,35,2005,"H.No. 71, Gera, Karaikudi-859682",Private Worker,Scar on left cheek,Nair Hospital Mumbai
0983/2026,Nagpada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-25 04:56:55,2026-07-25 08:56:55,Isaac Ravi,Police Head Constable 2847,+91-0995490883,"H.No. 282, Tailor Street, Durgapur 049470",Jagdish Nagarajan,Inspector of Police,POBN16244,Md. Teerth Bhargava,+91-7611970993,21,1982,"08/067, Oommen Road, Guntakal-846979",Vendor,Pockmarks on face,KEM Hospital Mumbai
0499/2026,Nagpada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-14 03:34:43,2026-07-14 04:34:43,Udant Dugar,Police Head Constable 5429,+91-4760845412,"651, Saran Road, Thrissur 069089",Frado Khare,Inspector of Police,POBN37327,Md. Manan Subramanian,+91-8164539334,45,1988,"384, Khare Ganj, Noida-093996",Private Worker,,KEM Hospital Mumbai
0687/2026,Tardeo Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-21 11:17:17,2026-07-21 12:17:17,Wridesh Thakkar,Police Head Constable 1314,+91-8822847832,"31, Hora Path, Ludhiana-583198",Chandresh Parikh,Inspector of Police,POBN87457,Md. Oliver Dasgupta,+91-0224687988,37,1969,"399, Nayar Ganj, Munger 005874",Driver,Mole on neck,Nair Hospital Mumbai
0819/2026,Agripada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-21 15:45:23,2026-08-21 19:45:23,Charles Bhagat,Police Head Constable 4435,+91-3599114112,"430, Sarraf Circle, Amritsar 802162",Logan Toor,Inspector of Police,POBN22303,Md. Ranbir Bains,+91-6072329900,32,1971,"74/722, Om Marg, Ramgarh-994514",Unemployed,Pockmarks on face,Nair Hospital Mumbai
0777/2026,Kalachowki Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-09-04 05:55:36,2026-09-04 09:55:36,Kabir Narain,Police Head Constable 3060,+91-1701532923,"04, Ghose Chowk, North Dumdum-841029",Charan Chahal,Inspector of Police,POBN48448,Md. Karan Mistry,+91-3203295820,28,1978,"88/93, Grover Nagar, Tadepalligudem-343747",Unemployed,Tattoo on forearm,Sion Hospital Mumbai
0702/2026,Tardeo Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-18 05:44:05,2026-08-18 07:44:05,Qadim Varughese,Police Head Constable 5638,+91-1383670456,"30, Sarin Zila, Mahbubnagar-977057",Noah Madan,Inspector of Police,POBN30876,Md. Dev Mani,+91-7339277969,56,2002,"05, Barad Ganj, Thanjavur-715639",Private Worker,Scar on left cheek,Nair Hospital Mumbai
1001/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-26 19:15:00,2026-08-12 21:55:00,Ayushman Hora,Police Head Constable 5510,+91-4173608560,"H.No. 050, Tiwari Circle, Lucknow 786358",Lohit Ghose,Inspector of Police,POBN89914,Md. Wridesh Bali,+91-2971614670,59,1996,"H.No. 47, Shroff Road, Yamunanagar-773943",Daily Wager,Pockmarks on face,Sion Hospital Mumbai
1002/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-25 19:15:00,2026-08-17 16:55:00,Ayushman Hora,Police Head Constable 5510,+91-4173608560,"H.No. 050, Tiwari Circle, Lucknow 786358",Lohit Ghose,Inspector of Police,POBN89914,Md. Wridesh Bali,+91-2971614670,59,1996,"H.No. 47, Shroff Road, Yamunanagar-773943",Daily Wager,Pockmarks on face,Sion Hospital Mumbai
1003/2026,Agripada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-13 10:15:00,2026-08-22 10:55:00,Wahab Hayre,Police Head Constable 6166,+91-4951314521,"460, Memon Chowk, Bidar-793519",Oscar Uppal,Inspector of Police,POBN54442,Md. David Nayak,+91-0908250618,51,1981,"H.No. 10, Kumar Ganj, Navi Mumbai 554174",Unemployed,,Nair Hospital Mumbai
1004/2026,Dadar Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-17 15:15:00,2026-08-24 19:55:00,Wahab Dutt,Police Head Constable 8564,+91-6438178844,"200, Sandhu Nagar, Katni-244070",Sathvik Chaudhuri,Inspector of Police,POBN34436,Md. Owen Ganesh,+91-4501079897,51,1999,"97/956, Sinha Chowk, Gulbarga-583557",Private Worker,,Sion Hospital Mumbai
1005/2026,Tardeo Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-25 11:15:00,2026-08-20 12:55:00,Zayan Borde,Police Head Constable 1761,+91-5847072706,"41, Ram Marg, Nashik 776376",Samesh Bail,Inspector of Police,POBN56293,Md. Frado Dhingra,+91-0333553548,25,1994,"18/36, Buch Path, Mau 994042",Private Worker,Pockmarks on face,Nair Hospital Mumbai
1006/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-28 11:15:00,2026-08-14 14:55:00,Atharv Seshadri,Police Head Constable 2920,+91-5053320862,"11/888, Dhawan Path, Kulti 737046",William Chacko,Inspector of Police,POBN31753,Md. Kevin Ganesan,+91-5505012573,41,1994,"78/484, Ram Street, Kalyan-Dombivli-359386",Private Worker,Pockmarks on face,Sion Hospital Mumbai
1007/2026,Bhoiwada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-15 17:15:00,2026-08-28 19:55:00,Dalbir Reddy,Police Head Constable 8842,+91-4327753411,"31, Mutti Street, Ballia-408277",Krishna Dar,Inspector of Police,POBN77607,Md. Reyansh Mangal,+91-0193610079,53,1969,"37, Shanker Path, Sultan Pur Majra 177739",Vendor,,Nair Hospital Mumbai
1008/2026,Bhoiwada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-17 20:15:00,2026-08-14 18:55:00,Dalbir Reddy,Police Head Constable 8842,+91-4327753411,"31, Mutti Street, Ballia-408277",Krishna Dar,Inspector of Police,POBN77607,Md. Reyansh Mangal,+91-0193610079,53,1969,"37, Shanker Path, Sultan Pur Majra 177739",Vendor,,Nair Hospital Mumbai
1009/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-24 14:15:00,2026-08-25 20:55:00,Manthan Srivastava,Police Head Constable 6175,+91-8315335725,"H.No. 29, Sengupta Circle, Gwalior 869610",Devansh Vasa,Inspector of Police,POBN17528,Md. Gopal Radhakrishnan,+91-9997632226,56,2003,"860, Shanker Zila, Kozhikode-719359",Unemployed,,Nair Hospital Mumbai
1010/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-20 15:15:00,2026-08-27 16:55:00,Manthan Srivastava,Police Head Constable 6175,+91-8315335725,"H.No. 29, Sengupta Circle, Gwalior 869610",Devansh Vasa,Inspector of Police,POBN17528,Md. Gopal Radhakrishnan,+91-9997632226,56,2003,"860, Shanker Zila, Kozhikode-719359",Unemployed,,Nair Hospital Mumbai
1011/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-20 12:15:00,2026-08-17 15:55:00,Nicholas Vig,Police Head Constable 9982,+91-5308340056,"38/90, Nori, Varanasi 396853",Pranav Acharya,Inspector of Police,POBN83427,Md. Onveer Bahl,+91-8335561055,24,1999,"H.No. 537, Walia Road, Panchkula 709188",Driver,Pockmarks on face,KEM Hospital Mumbai
1012/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-25 14:15:00,2026-08-24 15:55:00,Nicholas Vig,Police Head Constable 9982,+91-5308340056,"38/90, Nori, Varanasi 396853",Pranav Acharya,Inspector of Police,POBN83427,Md. Onveer Bahl,+91-8335561055,24,1999,"H.No. 537, Walia Road, Panchkula 709188",Driver,Pockmarks on face,KEM Hospital Mumbai
1013/2026,Bhoiwada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-16 10:15:00,2026-08-23 14:55:00,Jatin Sawhney,Police Head Constable 7084,+91-6164323583,"H.No. 515, Oza Zila, Faridabad 327791",Timothy Saxena,Inspector of Police,POBN31335,Md. Arjun Sheth,+91-6111449019,32,1983,"H.No. 667, Sathe Nagar, Hindupur 267698",Unemployed,Pockmarks on face,KEM Hospital Mumbai
1014/2026,Kalachowki Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-20 14:15:00,2026-08-13 17:55:00,Jacob Aurora,Police Head Constable 2944,+91-1656216911,"H.No. 32, Parekh Zila, Kottayam 097710",Naveen Sha,Inspector of Police,POBN61206,Md. Ojas Bhavsar,+91-3088060716,51,1987,"H.No. 336, Sinha Chowk, Korba 820202",Vendor,,Nair Hospital Mumbai
1015/2026,Agripada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-17 16:15:00,2026-08-27 12:55:00,Qadim Tandon,Police Head Constable 2185,+91-0375017628,"175, Ramaswamy Chowk, Ichalkaranji 443294",Karan Kothari,Inspector of Police,POBN59556,Md. Ayush Buch,+91-8561621656,48,2004,"651, Jayaraman Road, Vasai-Virar 722142",Vendor,,Sion Hospital Mumbai
1016/2026,Worli Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-11 22:15:00,2026-08-10 17:55:00,Manthan Tandon,Police Head Constable 5941,+91-7037172585,"590, Kadakia Road, Tezpur 058319",David Anne,Inspector of Police,POBN74525,Md. Tanveer Choudhary,+91-1407733840,43,1985,"H.No. 82, Mani Marg, Ambattur 331894",Vendor,Tattoo on forearm,Nair Hospital Mumbai
1017/2026,Worli Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-23 18:15:00,2026-08-10 18:55:00,Manthan Tandon,Police Head Constable 5941,+91-7037172585,"590, Kadakia Road, Tezpur 058319",David Anne,Inspector of Police,POBN74525,Md. Tanveer Choudhary,+91-1407733840,43,1985,"H.No. 82, Mani Marg, Ambattur 331894",Vendor,Tattoo on forearm,Nair Hospital Mumbai
