sighting_id,fir_number,suspect_name,sighting_timestamp,camera_id,camera_location,nearest_known_location,distance_from_incident_meters,match_confidence,sighting_status
CCTV-0094-01,0184/2026,Md. Aarush Lal,2026-07-25 21:44:29,MH-CCTV-7421,"Shopping Lane Entrance, Kalachowki, Mumbai","Kalachowki, Mumbai",721,0.74,Verified Match
CCTV-0094-02,0184/2026,Md. Aarush Lal,2026-07-26 00:17:29,MH-CCTV-7298,"Public Footpath Corner, Agripada, Mumbai","Agripada, Mumbai",291,0.89,Potential Match
CCTV-0095-01,0986/2026,Md. Chaitanya Dua,2026-08-31 12:02:18,MH-CCTV-2110,"Metro Access Road, Byculla West, Mumbai","Byculla West, Mumbai",216,0.93,Verified Match
CCTV-0095-02,0986/2026,Md. Chaitanya Dua,2026-08-31 12:03:18,MH-CCTV-4624,"Public Footpath Corner, Dadar, Mumbai","Dadar, Mumbai",208,0.73,Under Review
CCTV-0096-01,0258/2026,Md. Yash Ramakrishnan,2026-08-19 13:45:07,MH-CCTV-3074,"Main Road Traffic Signal, Nagpada, Mumbai","Nagpada, Mumbai",600,0.65,Potential Match
CCTV-0096-02,0258/2026,Md. Yash Ramakrishnan,2026-08-19 13:01:07,MH-CCTV-2428,"Bus Stop Junction, Byculla West, Mumbai","Byculla West, Mumbai",329,0.97,Potential Match
CCTV-0097-01,0710/2026,Md. Aarnav Chaudhry,2026-08-31 16:19:46,MH-CCTV-5309,"Market Entrance, Nagpada, Mumbai","Nagpada, Mumbai",577,0.96,Under Review
CCTV-0098-01,0582/2026,Md. Brijesh Comar,2026-08-08 08:02:21,MH-CCTV-3144,"Market Entrance, Nagpada, Mumbai","Nagpada, Mumbai",690,0.74,Under Review
CCTV-0098-02,0582/2026,Md. Brijesh Comar,2026-08-08 03:32:21,MH-CCTV-8299,"Shopping Lane Entrance, Agripada, Mumbai","Agripada, Mumbai",349,0.75,Potential Match
CCTV-0099-01,0977/2026,Md. Yug Bir,2026-08-23 01:05:37,MH-CCTV-7378,"Main Road Traffic Signal, Agripada, Mumbai","Agripada, Mumbai",287,0.82,Under Review
CCTV-0099-02,0977/2026,Md. Yug Bir,2026-08-23 00:37:37,MH-CCTV-5483,"Market Entrance, Grant Road, Mumbai","Grant Road, Mumbai",148,0.94,Under Review
CCTV-0100-01,0856/2026,Md. Manbir Datta,2026-07-27 00:47:01,MH-CCTV-7643,"Shopping Lane Entrance, Dadar, Mumbai","Dadar, Mumbai",648,0.95,Under Review
CCTV-2001-01,0760/2026,Md. Darsh Sampath,2026-08-08 15:15:00,MH-CCTV-5719,"Flyover Service Road, Lower Parel, Mumbai","Lower Parel, Mumbai",87,0.82,Verified Match
CCTV-2001-02,0658/2026,Md. Advik Golla,2026-08-08 15:25:00,MH-CCTV-5719,"Flyover Service Road, Lower Parel, Mumbai","Lower Parel, Mumbai",122,0.99,Verified Match
CCTV-2002-01,0760/2026,Md. Darsh Sampath,2026-08-28 13:15:00,MH-CCTV-1652,"Market Entrance, Byculla West, Mumbai","Byculla West, Mumbai",166,0.89,Verified Match
CCTV-2002-02,0658/2026,Md. Advik Golla,2026-08-28 13:25:00,MH-CCTV-1652,"Market Entrance, Byculla West, Mumbai","Byculla West, Mumbai",221,0.93,Verified Match
CCTV-2003-01,0254/2026,Md. Ranbir Bhalla,2026-08-16 18:15:00,MH-CCTV-9890,"Public Footpath Corner, Lower Parel, Mumbai","Lower Parel, Mumbai",112,0.84,Verified Match
CCTV-2003-02,0983/2026,Md. Teerth Bhargava,2026-08-16 18:25:00,MH-CCTV-9890,"Public Footpath Corner, Lower Parel, Mumbai","Lower Parel, Mumbai",236,0.85,Verified Match
CCTV-2004-01,0254/2026,Md. Ranbir Bhalla,2026-08-25 18:15:00,MH-CCTV-9173,"Metro Access Road, Byculla West, Mumbai","Byculla West, Mumbai",106,0.85,Verified Match
CCTV-2004-02,0983/2026,Md. Teerth Bhargava,2026-08-25 18:25:00,MH-CCTV-9173,"Metro Access Road, Byculla West, Mumbai","Byculla West, Mumbai",238,0.92,Verified Match
CCTV-2005-01,0847/2026,Md. Indrajit Kunda,2026-08-18 15:15:00,MH-CCTV-9173,"Metro Access Road, Byculla West, Mumbai","Byculla West, Mumbai",81,0.89,Verified Match
CCTV-2005-02,0634/2026,Md. Azad Mannan,2026-08-18 15:25:00,MH-CCTV-9173,"Metro Access Road, Byculla West, Mumbai","Byculla West, Mumbai",265,0.92,Verified Match
CCTV-2006-01,0847/2026,Md. Indrajit Kunda,2026-08-18 21:15:00,MH-CCTV-1652,"Market Entrance, Byculla West, Mumbai","Byculla West, Mumbai",131,0.97,Verified Match
CCTV-2006-02,0634/2026,Md. Azad Mannan,2026-08-18 21:25:00,MH-CCTV-1652,"Market Entrance, Byculla West, Mumbai","Byculla West, Mumbai",173,0.94,Verified Match
CCTV-2007-01,0191/2026,Md. Balendra Nayak,2026-08-14 20:15:00,MH-CCTV-1652,"Market Entrance, Byculla West, Mumbai","Byculla West, Mumbai",164,0.96,Verified Match
CCTV-2007-02,0736/2026,Md. Tarak Sahni,2026-08-14 20:25:00,MH-CCTV-1652,"Market Entrance, Byculla West, Mumbai","Byculla West, Mumbai",250,0.97,Verified Match
CCTV-2008-01,0191/2026,Md. Balendra Nayak,2026-08-09 15:15:00,MH-CCTV-9890,"Public Footpath Corner, Lower Parel, Mumbai","Lower Parel, Mumbai",213,0.86,Verified Match
CCTV-2008-02,0736/2026,Md. Tarak Sahni,2026-08-09 15:25:00,MH-CCTV-9890,"Public Footpath Corner, Lower Parel, Mumbai","Lower Parel, Mumbai",259,0.92,Verified Match
CCTV-2009-01,0983/2026,Md. Teerth Bhargava,2026-08-09 19:15:00,MH-CCTV-2466,"Main Road Traffic Signal, Agripada, Mumbai","Agripada, Mumbai",69,0.93,Verified Match
CCTV-2009-02,0414/2026,Md. Zashil Mistry,2026-08-09 19:25:00,MH-CCTV-2466,"Main Road Traffic Signal, Agripada, Mumbai","Agripada, Mumbai",120,0.89,Verified Match
CCTV-2010-01,0983/2026,Md. Teerth Bhargava,2026-08-18 13:15:00,MH-CCTV-5719,"Flyover Service Road, Lower Parel, Mumbai","Lower Parel, Mumbai",85,0.84,Verified Match
CCTV-2010-02,0414/2026,Md. Zashil Mistry,2026-08-18 13:25:00,MH-CCTV-5719,"Flyover Service Road, Lower Parel, Mumbai","Lower Parel, Mumbai",158,0.95,Verified Match
CCTV-2011-01,0943/2026,Md. Samar Nagar,2026-08-03 18:15:00,MH-CCTV-2466,"Main Road Traffic Signal, Agripada, Mumbai","Agripada, Mumbai",154,0.87,Verified Match
CCTV-2011-02,0983/2026,Md. Teerth Bhargava,2026-08-03 18:25:00,MH-CCTV-2466,"Main Road Traffic Signal, Agripada, Mumbai","Agripada, Mumbai",179,0.91,Verified Match
CCTV-2012-01,0943/2026,Md. Samar Nagar,2026-08-27 18:15:00,MH-CCTV-2466,"Main Road Traffic Signal, Agripada, Mumbai","Agripada, Mumbai",149,0.96,Verified Match
CCTV-2012-02,0983/2026,Md. Teerth Bhargava,2026-08-27 18:25:00,MH-CCTV-2466,"Main Road Traffic Signal, Agripada, Mumbai","Agripada, Mumbai",209,0.98,Verified Match
